X1,X2,X3,X4,y,y_rbf,y_poly
0.7000000000,0.3000000000,0.7000000000,0.3000000000,0.8752936167,0.8864248895,0.8891169495
0.7000000000,0.4000000000,0.7000000000,0.4000000000,0.9150424661,0.8756691125,0.8838652966
0.7000000000,0.5000000000,0.7000000000,0.5000000000,0.9017941245,0.8740371055,0.8747742548
0.7000000000,0.6000000000,0.7000000000,0.6000000000,0.8822509391,0.8803304101,0.8603917830
0.7000000000,0.7000000000,0.7000000000,0.7000000000,0.8658839990,0.8932616540,0.8391167330
0.7000000000,0.8000000000,0.7000000000,0.8000000000,0.8601403777,0.9115027354,0.8092275965
0.7000000000,0.9000000000,0.7000000000,0.9000000000,0.8684513603,0.9337319599,0.7689112510
0.8000000000,0.0000000000,0.8000000000,0.0000000000,0.9519761626,1.0245991118,0.9514305068
0.8000000000,0.1000000000,0.8000000000,0.1000000000,0.9295682027,0.9803527760,0.9505805404
0.8000000000,0.2000000000,0.8000000000,0.2000000000,0.9110062105,0.9475945224,0.9488736212
0.8000000000,0.3000000000,0.8000000000,0.3000000000,0.9140498646,0.9256907959,0.9452834548
0.8000000000,0.4000000000,0.8000000000,0.4000000000,0.9231278412,0.9137908966,0.9385065663
0.8000000000,0.5000000000,0.8000000000,0.5000000000,0.9097462861,0.9108657597,0.9269910472
0.8000000000,0.6000000000,0.8000000000,0.6000000000,0.8936241318,0.9157513932,0.9089653019
0.8000000000,0.7000000000,0.8000000000,0.7000000000,0.8803895346,0.9271951326,0.8824667935
0.8000000000,0.8000000000,0.8000000000,0.8000000000,0.8754074295,0.9439028087,0.8453707906
0.8000000000,0.9000000000,0.8000000000,0.9000000000,0.8812853881,0.9645849343,0.7954191137
0.9000000000,0.0000000000,0.9000000000,0.0000000000,0.9626390557,1.0629617054,1.0467916243
0.9000000000,0.1000000000,0.9000000000,0.1000000000,0.9540532666,1.0190166599,1.0454777091
0.9000000000,0.2000000000,0.9000000000,0.2000000000,0.9449570995,0.9862945283,1.0430875619
0.9000000000,0.3000000000,0.9000000000,0.3000000000,0.9389064021,0.9641833371,1.0383833289
0.9000000000,0.4000000000,0.9000000000,0.4000000000,0.9319668403,0.9518581514,1.0298081422
0.9000000000,0.5000000000,0.9000000000,0.5000000000,0.9199715324,0.9483188832,1.0155148659
0.9000000000,0.6000000000,0.9000000000,0.6000000000,0.9078053153,0.9524326834,0.9933948429
0.9000000000,0.7000000000,0.9000000000,0.7000000000,0.8981405725,0.9629791213,0.9611066405
0.9000000000,0.8000000000,0.9000000000,0.8000000000,0.8943192590,0.9786962871,0.9161047980
0.9000000000,0.9000000000,0.9000000000,0.9000000000,0.8979976057,0.9983259657,0.8556685718
